"";"Number";"ISOWeek";"Sales";"Price";"MovingAverage";"Seasonality";"CleanSales";"LinearSales";"ExpSales";"LogSales";"TrendEffect";"PriceEffect";"TrendForecast";"PriceForecast";"TPForecast"
"86";86;201334;5198;28,75;5471,40384615385;-513,955128205128;5711,95512820513;5144,00001860247;4526,09711094993;5126,33282372682;40,2383902578358;113,865018602474;4567,60937777483;4569,8340245345;4892,62282347699
"87";87;201335;4259;30,28;5449,41346153846;-880,384615384616;5139,38461538462;5125,38706977218;4525,61074370414;5105,85898072748;45,9843611330689;95,2520697721802;4217,24916900076;4226,33958479028;4483,4754869769
"88";88;201336;4442;30,13;5418,51923076923;-937,935897435897;5379,9358974359;5127,21186867711;4525,65842445656;5107,81993179285;51,7303320083029;97,0768686771107;4167,05480853529;4169,04016242012;4448,33919978957
"89";89;201337;3839;30,29;5391,57692307692;-1212,33653846154;5051,33653846154;5125,26541651185;4525,60756500517;5105,72859625609;57,4763028835359;95,1304165118509;3906,12763911459;3903,35292232989;4190,58012351288
"90";90;201338;3522;31,7;5400,49038461538;-1509,33653846154;5031,33653846154;5108,1123068055;4525,15939080122;5087,76241282984;63,222273758769;77,977306805501;3623,23855834779;3626,40072301138;3853,66410894285
"91";91;201339;3582;29,98;5416,07692307692;-1579,9358974359;5161,9358974359;5129,03666758204;4525,70610571133;5109,79066971158;68,968244634003;98,9016675820421;3560,36416085353;3542,92551045889;3878,13475230368
"92";92;201340;4053;30,65;5427,875;-1236,60576923077;5289,60576923077;5120,88589914002;4525,4931333293;5101,0631999274;74,7142155092361;90,7508991400173;3899,74377026663;3882,82307950354;4190,53739456369
"93";93;201341;4098;30,76;5443,93269230769;-1495,36217948718;5593,36217948718;5119,5477132764;4525,45816867213;5099,64858742337;80,4601863844691;89,4127132764015;3654,0195634442;3631,93240531858;3950,10898401437
"94";94;201342;3809;30,97;5469,23076923077;-1578,91025641026;5387,91025641026;5116,9929948095;4525,39141871315;5096,96195573142;86,2061572597031;86,8579948094985;3578,56168533183;3552,42178683742;3873,44867785679
"95";95;201343;3516;31,82;5481,99038461538;-1878,38141025641;5394,38141025641;5106,65246768156;4525,12125036522;5086,27046130174;91,9521281349362;76,5174676815568;3293,27115318965;3268,25754557418;3559,89138895786
"96";96;201344;3764;31,31;5471,11538461538;-1667,3108974359;5431,3108974359;5112,85678395832;4525,28334943841;5092,65055820768;97,6980990101692;82,7217839583218;3504,12172109134;3469,30431429611;3799,4253151025
"97";97;201345;3937;32,28;5463,125;-1463,57371794872;5400,57371794872;5101,05641770644;4524,97504833854;5080,60297214484;103,444069885403;70,921417706435;3707,84580294;3675,91809586438;3963,90287058016
"98";98;201346;4054;31,02;5459,30769230769;-1418,61217948718;5472,61217948718;5116,38472850785;4525,37552601089;5096,32496677571;109,190040760636;86,2497285078543;3757,27274051648;3708,86122688325;4078,28161216838
"99";99;201347;4170;30,75;5457,20192307692;-1399,35256410256;5569,35256410256;5119,66936653673;4525,46134726617;5099,77697935037;114,93601163587;89,53436653673;3781,72271495518;3725,2880089732;4122,4696822962
"100";100;201348;5033;32,42;5467,63461538462;-755,419871794872;5788,41987179487;5099,35327206183;4524,93055300715;5078,89410667958;120,681982511103;69,218272061833;4413,22595808382;4366,33119777609;4677,77864395882
"101";101;201349;6031;29,57;5483,63461538462;611,923076923077;5419,07692307692;5134,02445125552;4525,83643703755;5115,22808361833;126,427953386337;103,889451255519;5747,73462433836;5672,63478521614;6135,94066534252
"102";102;201350;7128;32,96;5490,86538461538;3083,75961538462;4044,24038461538;5092,78399600408;4524,75893225597;5072,37118506423;132,17392426157;62,6489960040826;8155,58304008797;8107,45132674829;8368,70332993636
"103";103;201351;17142;28,99;5490,00961538462;9836,78525641026;7305,21474358974;5141,08034035459;4526,02081459225;5123,05020529586;137,919895136803;110,945340354585;14723,8634235359;14645,7613602112;15053,608372909
"104";104;201352;28031;31,91;5488,52884615385;20630,8429487179;7400,15705128205;5105,5575883386;4525,09264524917;5085,1551853957;143,665866012037;75,422588338598;25219,1927006144;25176,1525334252;25305,0596052864
"105";105;201401;13891;33,14;5487,44230769231;7270,57051282051;6620,42948717949;5090,59423731817;4524,70172678542;5070,22060527807;149,411836887271;60,4592373181649;12241,4996896709;12183,8138245861;12423,4948583787
"106";106;201402;3758;33,49;5487,19230769231;-1601,11538461538;5359,11538461538;5086,33637320666;4524,59049599637;5066,07215713235;155,157807762504;56,2013732066598;3625,78613747438;3552,44207804293;3895,59590776345
"107";107;201403;5064;30,37;5483,00961538462;-1084,54487179487;6148,54487179487;5124,29219042922;4525,58213549381;5104,68706748077;160,903778637738;94,1571904292214;4133,51963572143;4028,41298724164;4548,63037752299
"108";108;201404;3522;30,06;5486,94230769231;-1602,30128205128;5124,30128205128;5128,06344149941;4525,68067564627;5108,73838562978;166,649749512971;97,9284414994117;3636,1008987535;3521,84509293535;4078,62050940938
"109";109;201405;3826;29,58;5503,83653846154;-1694,02564102564;5520,02564102564;5133,90279799519;4525,83325818006;5115,09456903784;172,395720388204;103,76779799519;3552,69736245876;3428,45400323074;4025,81049748523
"110";110;201406;3162;32,56;5512,30769230769;-1768,09615384615;4930,09615384615;5097,65012641723;4524,88605811329;5077,19260476947;178,141691263438;67,5151264172309;3486,44972003643;3381,9448615135;3830,96937439096
"111";111;201407;4233;31,9;5521,89423076923;-1150,24679487179;5383,24679487179;5105,67924159893;4525,09582358647;5085,27894949889;183,887662138671;75,5442415989273;4092,6053479992;3977,60191417455;4468,28308267365
"112";112;201408;2476;31,7;5527,95192307692;-1772,71153846154;4248,71153846154;5108,1123068055;4525,15939080122;5087,76241282984;189,633633013905;77,977306805501;3493,43172778551;3370,07077225137;3892,60083444829
"113";113;201409;3910;31,24;5528,34615384615;-1190,67307692308;5100,67307692308;5113,70835678062;4525,305598784;5093,5343589207;195,379603889138;83,5733567806228;4064,7865565042;3932,59161932495;4486,31221785917
"114";114;201410;10293;30,54;5532,05769230769;5464,03846153846;4828,96153846154;5122,22408500363;4525,52809825661;5102,48289848177;201,125574764371;92,089085003633;10537,5259289423;10403,2867497342;10926,479758011
"115";115;201411;3092;30,75;5538,63461538462;-2311,00641025641;5403,00641025641;5119,66936653673;4525,46134726617;5099,77697935037;206,871545639605;89,53436653673;2987,52105507391;2838,02010011782;3458,81190246773
"116";116;201412;3356;32,26;5552,20192307692;-2433,60576923077;5789,60576923077;5101,29972422709;4524,98140485018;5080,84770061132;212,617516514838;71,1647242270928;2874,11339284001;2731,66186925313;3284,8878546789
"117";117;201413;3379;32,39;5560,28846153846;-2145,55448717949;5524,55448717949;5099,71823184282;4524,94008768418;5079,25967007679;218,363487390072;69,5832318428193;3159,77337596092;3013,12394148452;3568,98555869912
"118";118;201414;3914;32,48;5563,97115384615;-1733,13461538462;5647,13461538462;5098,62335249986;4524,91148371334;5078,16399361855;224,109458265305;68,4883524998613;3566,29395275121;3415,2844968639;3974,43115069661
"119";119;201415;4294;31,96;5566,76923076923;-1314,65705128205;5608,65705128205;5104,94932203695;4525,07675359618;5084,53694608354;229,855429140538;74,8143220369548;3978,70135587026;3818,10452185889;4413,72873133318
"120";120;201416;5219;35,36;5568,99038461538;-1410,82371794872;6629,82371794872;5063,58721352519;4523,99625211175;5044,61718630617;235,601400015772;33,4522135251891;3890,9808136011;3753,69552091144;4178,3546978735
"121";121;201417;3944;35,02;5572,33653846154;-1080,38461538462;5024,38461538462;5067,72342437637;4524,10429064904;5048,43237896167;241,347370891005;37,5884243763649;4217,83300740875;4072,37713935947;4524,78184915818
"122";122;201418;4019;34,09;5574,13461538462;-893,586538461538;4912,58653846154;5079,03717758694;4524,39982100531;5059,06038304986;247,093341766238;48,9021775869369;4405,09577859734;4246,19549649704;4760,29161101956
"123";123;201419;4089;36,13;5579,625;-1283,41346153846;5372,41346153846;5054,21991247988;4523,75158613859;5036,11078900154;252,839312641472;24,0849124798769;4031,99809246878;3884,3072754696;4305,22520532367
"124";124;201420;4682;35,7;5586,32692307692;-556,663461538461;5238,66346153846;5059,45100267401;4523,88821615449;5040,83850323121;258,585283516705;29,3160026740125;4743,98266126355;4587,92627211214;5036,61600565289
"125";125;201421;5706;36,37;5585,49038461538;226,264423076923;5479,73557692308;5051,30023423199;4523,67532931939;5033,49647191202;264,331254391939;21,1652342319876;5510,56053613106;5355,66274482969;5771,44232213031
"126";126;201422;6230;35,34;5576,10576923077;330,39423076923;5899,60576923077;5063,83052004585;4524,00260724841;5044,84059189517;270,077225267172;33,695520045846;5617,48681626954;5448,16574517088;5932,10871436143
"127";127;201423;5977;36,21;5572,03846153846;200,163461538461;5776,83653846154;5053,24668639725;4523,72616705602;5035,23742537647;275,823196142405;23,1116863972475;5496,66299875057;5328,88653550916;5780,26092631185
"128";128;201424;5826;35,79;5593,66346153846;371,759615384615;5454,24038461538;5058,35612333105;4523,85961883296;5039,84428692416;281,569167017639;28,2211233310536;5669,1526391046;5492,2874014356;5977,72695179533
"129";129;201425;5755;35,38;5576,73076923077;399,639423076923;5355,36057692308;5063,34390700453;4523,98989698402;5044,39390704209;287,315137892872;33,2089070045313;5701,97966085082;5515,90204596087;6036,63177726131
